County,POP2010,LILATracts_1And10,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic
Baltimore City,3175,0,40,3056,10,0,3,66,19
Baltimore City,2993,0,39,2891,1,0,3,59,42
Baltimore City,3773,0,802,2830,21,0,12,108,65
Baltimore City,5817,0,3936,1604,123,4,2,148,133
Baltimore City,3788,0,2939,550,224,7,8,60,79
Baltimore City,3429,0,2690,524,134,0,2,79,81
Baltimore City,3548,0,1771,1694,8,3,5,67,45
Baltimore City,4367,0,1636,2030,150,28,27,496,623
Baltimore City,3226,0,170,2897,31,2,9,117,122
Baltimore City,6045,0,105,5785,13,0,23,119,95
Baltimore City,4828,0,167,4533,21,0,9,98,77
Baltimore City,4101,1,357,3639,19,0,11,75,77
Baltimore City,2282,0,91,2139,5,0,6,41,20
Baltimore City,3565,0,501,2967,22,1,4,70,42
Baltimore City,1574,0,19,1520,3,0,9,23,23
Baltimore City,5073,0,1300,3568,53,8,12,132,74
Baltimore City,2267,0,113,2107,7,0,9,31,19
Baltimore City,3549,0,273,3098,111,2,4,61,97
